main_gloss,og_gloss,dominant_start_handshape,non_dominant_start_handshape,dominant_end_handshape,non_dominant_end_handshape,handedness,variant_1,variant_2,compounded_word,notes
DEPARTMENT,DEPARTMENT,D,D,D,D,1,,,,
DEPEND,DEPEND,1,1,1,1,1,,,,
DEPOSIT,DEPOSIT,10,A,A,A,1,,,,
DEPOSIT,DEPOSIT,10,10,10,10,1,,,,
DEPOSIT,DEPOSIT,A,A,A,A,1,,,,
DEPRESS,DEPRESS,25,25,25,25,1,,,,
DEPRESS,DEPRESS,D,D,D,D,1,,,,
DESTROY,DESTROY,5,5,A,A,1,,,,
DESTROY,DESTROY,5,5,S,S,1,,,,
DESTROY,DESTROY,crvd-5,5,A,A,1,,,,
DESTROY,DESTROY,5-C,5-C,A,A,1,,,,
DETECTIVE,DETECTIVE,D,,D,,1,,,,
DETECTIVE/POLICE INVESTIGATOR,COP+RESEARCH,C,,1,B-L,1,,,COP+RESEARCH,
DETERIORATE,DETERIORATE,10,10,10,10,1,,,,
DETROIT,ns-DETROIT,D,,D,,1,,,,
DEVELOP,DEVELOP,B-xd,B-L,B-xd,B-L,1,,,,
DEVELOP,DEVELOP,B,B-L,B,B-L,1,,,,
DEVELOP,DEVELOP,D,B-L,D,B-L,1,,,,
DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS,3,3,crvd-3,crvd-3,1,DEVIL,MISCHIEVOUS,,
DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS,3,,crvd-3,,1,DEVIL,MISCHIEVOUS,,
DEVIL/MISCHIEVOUS,DEVIL/MISCHIEVOUS,3,3,crvd-V,crvd-V,1,DEVIL,MISCHIEVOUS,,
DEVOUR,DEVOUR,5,,S,,1,,,,
DIAL A PHONE,PHONE+PUSH-BUTTONS,Y,,25,,1,,,PHONE+PUSH-BUTTONS,
DIAL A PHONE,PHONE+PUSH-BUTTONS,I-L-Y,,25,,1,,,PHONE+PUSH-BUTTONS,
DIAL ROTARY,DIAL-ROTARY,X,,X,,1,,,,
DIALOG,DIALOG,1,1,1,1,1,,,,
DIALOG,DIALOG,D,D,D,D,1,,,,
DIAMOND,DIAMOND,D,B-xd,D,B-xd,1,,,,
DIAMOND,DIAMOND,D,B,D,B,1,,,,
DICTIONARY,DICTIONARY,D,B-L,D,B-L,1,,,,
DIE,DIE,B-L,B-L,B-L,B-L,1,,,,
DIM,DIM,5,5,crvd-sprd-B,crvd-sprd-B,1,,,,
DIM,DIM,5,5,5-C,5-C,1,,,,
DIMPLE,DIMPLE,1,,1,,1,,,,
DIMPLE,DIMPLE,1,1,1,1,1,,,,
DINING ROOM,DINNER+BOX/ROOM,D,,B-L,B-L,1,BOX,ROOM,DINNER+ROOM,
DINING ROOM,DINNER+BOX/ROOM,D,,bent-B-L,bent-B-L,1,BOX,ROOM,DINNER+ROOM,
DINNER,DINNER,D,,D,,1,,,,
DINOSAUR,DINOSAUR,D,B,D,B,1,,,,
DINOSAUR,DINOSAUR,D,B-xd,D,B-xd,1,,,,
DINOSAUR,DINOSAUR,flat-O,psv,flat-O,psv,1,,,,
DIPLOMA,DIPLOMA,F,F,F,F,1,,,,
DIPLOMA,DIPLOMA,O,O,O,O,1,,,,
DIRECT,DIRECT,F,F,F,F,1,,,,
DIRECT,DIRECT,D,D,D,D,1,,,,
DIRECTOR,DIRECT+AGENT,D,D,B-L,B-L,1,,,DIRECT+AGENT,
DIRTY,DIRTY,5,,5,,1,,,,
DISAGREE,DISAGREE,1,1,1,1,1,,,,
DISAPPEAR,DISAPPEAR,1,B-L,S,B-L,1,,,,
DISAPPEAR,DISAPPEAR,L,5,10,5,1,,,,
DISAPPOINT,DISAPPOINT,1,,1,,1,,,,
DISAPPOINT,DISAPPOINT,bent-1,,bent-1,,1,,,,
DISAPPOINTED,FEEL+DEFLATE,25,,flat-O,B-xd,1,,,FEEL+DEFLATE,
DISAPPOINTED,FEEL+DEFLATE,25,,flat-O,B,1,,,FEEL+DEFLATE,
DISCIPLINE,DISCIPLINE,D,1,D,1,1,,,,
DISCIPLINE,DISCIPLINE,D,flat-B,D,flat-B,1,,,,
DISCONNECT,DISCONNECT,8,8,5,5,1,,,,
DISCONNECT,DISCONNECT,8,8,25,25,1,,,,
DISCONNECT,DISCONNECT,F,F,5,5,1,,,,
DISCRIMINATE,DISCRIMINATE,D,B-L,D,B-L,1,,,,
DISCUSS,DISCUSS,1,B-L,1,B-L,1,,,,
DISGUST,DISGUST,5-C-L,,5-C-L,,1,,,,
DISGUST,DISGUST,5-C,,5-C,,1,,,,
DISGUST,DISGUST,5,,5-C,,1,,,,
DISH,DISH,crvd-L,crvd-L,crvd-L,crvd-L,1,,,,
DISH,DISH,L-X,L-X,L-X,L-X,1,,,,
DISMISS,DISMISS,bent-B,B-L,bent-B,B-L,1,,,,
DISMISS,DISMISS,B-L,B-L,B-L,B-L,1,,,,
DISMISS,DISMISS,bent-B-L,flat-B,bent-B-L,flat-B,1,,,,
DISMISS,DISMISS,B,B-L,B,B-L,1,,,,
DISSATISFIED,NOT+SATISFIED,10,,crvd-flat-B,crvd-flat-B,1,,,NOT+SATISFIED,
DISTRACTED,MIND+OFF-COURSE,L,,10,B-L,1,,,MIND+OFF-COURSE,
DISTRACTED,MIND+OFF-COURSE,1,,10,B-L,1,,,MIND+OFF-COURSE,
DISTRACTED,MIND+OFF-COURSE,1,,crvd-B,B-L,1,,,MIND+OFF-COURSE,
DISTRIBUTE,DISTRIBUTE,flat-O,flat-O,crvd-5,crvd-5,1,,,,
DISTRIBUTE,DISTRIBUTE,flat-O,flat-O,5,5,1,,,,
DIVE,DIVE,B-L,B-L,B-L,B-L,1,,,,
DIVE OFF BOARD,DIVE-OFF-BOARD,U,U,U,U,1,,,,
DIVE OFF BOARD,DIVE-OFF-BOARD,U,B,U,B,1,,,,
DIVE OFF BOARD,DIVE-OFF-BOARD,U,B-L,U,B-L,1,,,,
DIVIDE,DIVIDE,B-L,B-L,B-L,B-L,1,,,,
DIVIDE,DIVIDE,B,B,B,B,1,,,,
DIVORCE,DIVORCE,D,D,D,D,1,,,,
DIZZY,DIZZY,crvd-5,,crvd-5,,1,,,,
DO,DO,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
DOCTOR,DOCTOR,D,psv,D,psv,1,,,,
DOCTOR,DOCTOR,bent-B,psv,bent-B,psv,1,,,,
DOCTOR,DOCTOR,bent-B-L,B-L,bent-B-L,B-L,1,,,,
DOCTOR,DOCTOR,bent-B-L,A,bent-B-L,A,1,,,,
DOCTOR,DOCTOR,bent-B,B-L,bent-B,B-L,1,,,,
DOCTOR,DOCTOR,crvd-flat-B,flat-B,crvd-flat-B,flat-B,1,,,,
DOG,#DOG,D,,baby-O,,1,,,,loan
DOG,#DOG,D,,G,,1,,,,loan
DOG,#DOG,D,,flat-G,,1,,,,loan
